s1,s2
The green-breasted mountaingem or green-breasted mountain-gem (Lampornis sybillae) is a species of hummingbird in tribe Lampornithini of subfamily Trochilinae,Green-breasted Mountaingem scientific name Lampornis sybillae
The green-breasted pitta (Pitta reichenowi) is a species of bird in the family Pittidae,Green-breasted pitta scientific name Pitta reichenowi
"The green-capped eremomela or greencap eremomela (Eremomela scotops) is a species of bird formerly placed in the ""Old World warbler"" assemblage, but now placed in the family Cisticolidae",Green-capped Eremomela scientific name Eremomela scotops
The green-capped tanager (Stilpnia meyerdeschauenseei) is a species of bird in the family Thraupidae,green-capped tanager scientific name Stilpnia meyerdeschauenseei
"The green-cheeked parakeet (Pyrrhura molinae), known as the  green-cheeked conure in aviculture, is a species of bird in subfamily Arinae of the family Psittacidae, the African and New World parrots",green-cheeked parakeet scientific name Pyrrhura molinae
The green-chinned euphonia (Euphonia chalybea) is a species of bird in the family Fringillidae,green-chinned euphonia scientific name Euphonia chalybea
"The green-crowned brilliant (Heliodoxa jacula) is species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",Green-crowned Brilliant scientific name Heliodoxa jacula
"The green-faced parrotfinch (Erythrura viridifacies) is a species of estrildid finch found in northern Philippines, on Luzon, Mindoro, Panay, Negros and Cebu islands",Green-faced Parrotfinch scientific name Erythrura viridifacies
The green-fronted lancebill (Doryfera ludovicae) is a species of hummingbird in the family Trochilidae,Green-fronted lancebill scientific name Doryfera ludovicae
"The green-headed oriole (Oriolus chlorocephalus), or montane oriole, is a species of bird in the family Oriolidae",green-headed oriole scientific name Oriolus chlorocephalus
"The green-headed tanager (Tangara seledon) is a brightly colored bird found in the Atlantic forest in south-eastern Brazil, far eastern Paraguay, and far north-eastern Argentina (Misiones only)",green-headed tanager scientific name Tangara seledon
"The greenish elaenia (Myiopagis viridicata) is a species of bird in the family Tyrannidae, the tyrant flycatchers",greenish elaenia scientific name Myiopagis viridicata
"The greenish puffleg (Haplophaedia aureliae) is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",Greenish Puffleg scientific name Haplophaedia aureliae
"The greenish schiffornis (Schiffornis virescens), also greenish mourner or greenish manakin (not to be confused with the green manakin), is a species of bird in the family Tityridae",Greenish Schiffornis scientific name Schiffornis virescens
The greenish tyrannulet (Phyllomyias virescens) is a species of bird in the family Tyrannidae,Greenish Tyrannulet scientific name Phyllomyias virescens
The greenish yellow finch (Sicalis olivascens) is a species of bird in the family Thraupidae,greenish yellow finch scientific name Sicalis olivascens
"The green-legged partridge (Tropicoperdix chloropus), also known as the scaly-breasted partridge or green-legged hill-partridge, is a bird species in the family Phasianidae",green-legged partridge scientific name Tropicoperdix chloropus
The green-naped tanager (Tangara fucosa) is a species of bird in the family Thraupidae,green-naped tanager scientific name Tangara fucosa
The green-rumped parrotlet (Forpus passerinus) is a species of parrot in the family Psittacidae that is found in northeastern South America and the Caribbean island of Trinidad,green-rumped parrotlet scientific name Forpus passerinus
"The green-tailed bristlebill (Bleda eximius) is a species of songbird in the bulbul family, Pycnonotidae",green-tailed bristlebill scientific name Bleda eximius
"The green-tailed goldenthroat (Polytmus theresiae) is a species of hummingbird in the subfamily Polytminae, the mangoes",Green-tailed Goldenthroat scientific name Polytmus theresiae
The green-tailed sunbird (Aethopyga nipalensis) or Nepal yellow-backed sunbird is a species of bird in the family Nectariniidae,green-tailed sunbird scientific name Aethopyga nipalensis
"The green-tailed towhee (Pipilo chlorurus) is the smallest towhee, but is still one of the larger members of the American sparrow family Passerellidae",Green-tailed Towhee scientific name Pipilo chlorurus
"The green-tailed trainbearer (Lesbia nuna) is a species of hummingbird in the ""coquettes"", tribe Lesbiini of subfamily Lesbiinae",Green-tailed Trainbearer scientific name Lesbia nuna
"The green-tailed warbler (Microligea palustris), also known as the green-tailed ground-tanager, is a species of bird of the family Phaenicophilidae, the Hispaniolan tanagers",green-tailed warbler scientific name Microligea palustris
The green-throated mango (Anthracothorax viridigula) is a species of hummingbird in the subfamily Polytminae,hummingbird scientific name Anthracothorax viridigula
The green-throated mountaingem or green-throated mountain-gem (Lampornis viridipallens) is a species of hummingbird in tribe Lampornithini of subfamily Trochilinae,Green-throated Mountaingem scientific name Lampornis viridipallens
The green-throated sunbird (Chalcomitra rubescens) is a species of bird in the family Nectariniidae,green-throated sunbird scientific name Chalcomitra rubescens
The green-winged saltator (Saltator similis) is a species of saltator in the family Thraupidae,green-winged saltator scientific name Saltator similis
The Grenada dove  (Leptotila wellsi) is a medium-sized New World tropical dove,Grenada dove scientific name Leptotila wellsi
The Grenada flycatcher (Myiarchus nugator) is a species of bird in the family Tyrannidae,Grenada flycatcher scientific name Myiarchus nugator
The grey antbird (Cercomacra cinerascens) is a species of bird in the antbird family Thamnophilidae,Grey Antbird scientific name Cercomacra cinerascens
The grey antwren (Myrmotherula menetriesii) is a species of bird in the family Thamnophilidae,Grey Antwren scientific name Myrmotherula menetriesii
The grey apalis (Apalis cinerea) is a species of bird in the family Cisticolidae,Apalis cinerea scientific name Apalis cinerea
The grey bunting (Emberiza variabilis) is a species of bird in the family Emberizidae,grey bunting scientific name Emberiza variabilis
The grey bush chat (Saxicola ferreus) is a species of passerine bird in the family Muscicapidae,Grey Bush Chat scientific name Saxicola ferreus
"The gray crow (Corvus tristis), formerly known as the bare-faced crow, is about the same size (42–45 cm in length) as the Eurasian carrion crow (Corvus corone) but has somewhat different proportions and quite atypical feather pigmentation during the juvenile phase for a member of this genus",gray crow scientific name Corvus tristis
"The grey crowned crane (Balearica regulorum), also known as the African crowned crane, golden crested crane, golden crowned crane, East African crane, East African crowned crane, African crane, Eastern crowned crane, Kavirondo crane, South African crane and crested crane, is a bird in the crane family, Gruidae",grey crowned crane scientific name Balearica regulorum
The grey cuckooshrike (Ceblepyris caesius) is a species of bird in the cuckooshrike family Campephagidae,Grey Cuckooshrike scientific name Ceblepyris caesius
"The grey falcon (Falco hypoleucos) is a medium-sized falcon native to Australia, possibly the rarest",Grey Falcon scientific name Falco hypoleucos
The grey friarbird (Philemon kisserensis) is a species of bird in the family Meliphagidae,grey friarbird scientific name Philemon kisserensis
"The grey go-away-bird (Corythaixoides concolor), also known as grey lourie, grey loerie, or kwêvoël, is a bold and common bird of the southern Afrotropics",Grey Go-Away-Bird scientific name Corythaixoides concolor
"The grey goshawk (Accipiter novaehollandiae) is a strongly built, medium-sized bird of prey in the family Accipitridae that is found in eastern and northern Australia",grey goshawk scientific name Accipiter novaehollandiae
"The grey heron (Ardea cinerea) is a long-legged wading bird of the heron family, Ardeidae, native throughout temperate Europe and Asia and also parts of Africa",grey heron scientific name Ardea cinerea
The grey hypocolius[3] or simply hypocolius (Hypocolius ampelinus) is a small passerine bird species,Hypocolius ampelinus scientific name Hypocolius ampelinus
The grey imperial pigeon (Ducula pickeringii) is a species of bird in the family Columbidae,grey imperial pigeon scientific name Ducula pickeringii
"The gray junglefowl (Gallus sonneratii), also known as Sonnerat's junglefowl, is one of the wild ancestors of the domestic chicken together with the red junglefowl and other junglefowls",gray junglefowl scientific name Gallus sonneratii
The grey kestrel (Falco ardosiaceus) is an African bird of prey belonging to the falcon family Falconidae,grey kestrel scientific name Falco ardosiaceus
The grey laughingthrush (Garrulax maesi) is a species of bird in the family Leiothrichidae,grey laughingthrush scientific name Garrulax maesi
The grey longbill (Macrosphenus concolor) is a species of Old World warbler in the family Macrosphenidae,Grey Longbill scientific name Macrosphenus concolor
The grey monjita (Nengetus cinereus) is a species of bird in the family Tyrannidae that is the only member of the genus Nengetus,grey monjita scientific name Nengetus cinereus
The grey nightjar or gray nightjar (Caprimulgus jotaka) is a species of nightjar found in East Asia,nightjar scientific name Caprimulgus jotaka
"The grey penduline tit (Anthoscopus caroli), also known as the African penduline-tit, is a species of bird in the family Remizidae",grey penduline tit scientific name Anthoscopus caroli
"The grey petrel (Procellaria cinerea), also called the brown petrel, pediunker or grey shearwater is a species of seabird in the Procellariidae, or petrel family",grey petrel scientific name Procellaria cinerea
"The grey pileated finch (Coryphospingus pileatus), also known as the pileated finch, is a species of bird in the family Thraupidae, where it has recently been moved to from the Emberizidae",pileated finch scientific name Coryphospingus pileatus
"The grey pratincole (Glareola cinerea) is a species of bird, in the family Glareolidae",Grey Pratincole scientific name Glareola cinerea
The grey seedeater (Sporophila intermedia) is a species of bird in the family Thraupidae,grey seedeater scientific name Sporophila intermedia
The grey sibia (Heterophasia gracilis) is a species of bird in the family Leiothrichidae,grey sibia scientific name Heterophasia gracilis
"The grey silky-flycatcher or grey silky flycatcher (Ptiliogonys cinereus), is a species of bird in the family Ptiliogonatidae",Grey Silky-Flycatcher scientific name Ptiliogonys cinereus
The grey tit-flycatcher (Myioparus plumbeus) is a species of bird in the family Muscicapidae,grey tit-flycatcher scientific name Myioparus plumbeus
"The grey treepie (Dendrocitta formosae), also known as the Himalayan treepie, is an Asian treepie, a medium-sized and long-tailed member of the crow family",Grey Treepie scientific name Dendrocitta formosae
"The grey warbler-finch (Certhidea fusca) is a species of bird, one of Darwin's finches in the tanager family Thraupidae",Grey Warbler-Finch scientific name Certhidea fusca
The grey waxbill or black-tailed waxbill (Glaucestrilda perreini) is a common species of estrildid finch found in wetter land of Southern Africa,Grey Waxbill scientific name Glaucestrilda perreini
The grey wren-warbler (Calamonastes simplex) is a species of bird in the family Cisticolidae,grey wren-warbler scientific name Calamonastes simplex
The grey-and-buff woodpecker (Hemicircus concretus) is a species of bird in the family Picidae,woodpecker scientific name Hemicircus concretus
The grey-and-gold tanager (Poecilostreptus palmeri) is a species of bird in the family Thraupidae,grey-and-gold tanager scientific name Poecilostreptus palmeri
The grey-backed camaroptera (Camaroptera brevicaudata) is a small bird in the family Cisticolidae,grey-backed camaroptera scientific name Camaroptera brevicaudata
The grey-backed fiscal (Lanius excubitoroides) is a species of bird in the family Laniidae,grey-backed fiscal scientific name Lanius excubitoroides
The grey-backed shrike (Lanius tephronotus) is a bird in the family Laniidae inhabiting South-east Asia,grey-backed shrike scientific name Lanius tephronotus
The grey-backed storm petrel (Garrodia nereis) is a species of seabird in the austral storm petrel family Oceanitidae,grey-backed storm petrel scientific name Garrodia nereis
The grey-backed tachuri (Polystictus superciliaris) is a species of bird in the family Tyrannidae,grey-backed tachuri scientific name Polystictus superciliaris
"The gray-backed tailorbird (Orthotomus derbianus) is a species of bird formerly placed in the ""Old World warbler"" assemblage, it but now placed in the family Cisticolidae",gray-backed tailorbird scientific name Old World warbler
The grey-backed thrush (Turdus hortulorum) is a species of bird in the family Turdidae,grey-backed thrush scientific name Turdus hortulorum
"The grey-banded mannikin (Lonchura vana), or grey-banded munia, is a species of estrildid finch known to be found in Anggi Gigi, Tamrau Mountains, and Arfak Mountains in the Vogelkop Peninsula in north-western Papua, Indonesia",Grey-banded Mannikin scientific name Lonchura vana
The grey-bellied bulbul (Ixodia cyaniventris) is a species of songbird in the bulbul family,grey-bellied bulbul scientific name Ixodia cyaniventris
The grey-bellied comet (Taphrolesbia griseiventris) is a species of hummingbird in the family Trochilidae,hummingbird scientific name Taphrolesbia griseiventris
The grey-bellied cuckoo or the Indian plaintive cuckoo (Cacomantis passerinus) is a cuckoo with widespread occurrence throughout Asia,grey-bellied cuckoo scientific name Cacomantis passerinus
The grey-bellied flowerpiercer (Diglossa carbonaria) is a species of bird in the family Thraupidae,Grey-bellied Flowerpiercer scientific name Diglossa carbonaria
The grey-bellied hawk or grey-bellied goshawk (Accipiter poliogaster) is a fairly large and rare species of forest-dwelling South American bird of prey in the family Accipitridae,grey-bellied hawk scientific name Accipiter poliogaster
The grey-bellied shrike-tyrant (Agriornis micropterus) is a species of bird in the family Tyrannidae,Grey-bellied Shrike-Tyrant scientific name Agriornis micropterus
The grey-bellied spinetail (Synallaxis cinerascens) is a species of bird in the family Furnariidae,grey-bellied spinetail scientific name Synallaxis cinerascens
The grey-bellied tesia (Tesia cyaniventer) is a species of warbler in the family Cettiidae,Tesia cyaniventer scientific name Tesia cyaniventer
The grey-breasted babbler (Malacopteron albogulare) is a species of bird in the family Pellorneidae,grey-breasted babbler scientific name Malacopteron albogulare
"The grey-breasted crake (Laterallus exilis) is a species of bird in subfamily Rallinae of family Rallidae, the rails, gallinules, and coots",grey-breasted crake scientific name Laterallus exilis
The grey-breasted flycatcher (Lathrotriccus griseipectus) is a species of bird in the family Tyrannidae,grey-breasted flycatcher scientific name Lathrotriccus griseipectus
The grey-breasted martin (Progne chalybea) is a large swallow from Central and South America,grey-breasted martin scientific name Progne chalybea
The grey-breasted mountain toucan (Andigena hypoglauca) is a Near Threatened species of bird in the toucan family Ramphastidae,Grey-breasted mountain toucan scientific name Andigena hypoglauca
"The grey-breasted parakeet (Pyrrhura griseipectus) is an Endangered species of bird in subfamily Arinae of the family Psittacidae, the African and New World parrots",Grey-breasted parakeet scientific name Pyrrhura griseipectus
"The grey-breasted partridge (Arborophila orientalis), also known as the white-faced hill partridge, or Horsfield's hill partridge, is a bird species in the family Phasianidae",grey-breasted partridge scientific name Arborophila orientalis
The grey-breasted prinia or Franklin's prinia (Prinia hodgsonii) is a wren-warbler belonging to the family of small passerine birds found mainly in warmer southern regions of the Old World,Grey-breasted prinia scientific name Prinia hodgsonii
"The grey-breasted sabrewing (Campylopterus largipennis) is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae",grey-breasted sabrewing scientific name Campylopterus largipennis
The grey-breasted seedsnipe (Thinocorus orbignyianus) is a species of bird in the family Thinocoridae,Grey-breasted Seedsnipe scientific name Thinocorus orbignyianus
The grey-breasted spiderhunter (Arachnothera modesta) is a species of bird in the family Nectariniidae,Grey-breasted Spiderhunter scientific name Arachnothera modesta
The grey-breasted wood wren (Henicorhina leucophrys) is a species of bird in the family Troglodytidae,grey-breasted wood wren scientific name Henicorhina leucophrys
The grey-breasted woodpecker (Melanerpes hypopolius) is a species of bird in the family Picidae,grey-breasted woodpecker scientific name Melanerpes hypopolius
The grey-brown white-eye or Pohnpei white-eye (Zosterops ponapensis) is a species of bird in the family Zosteropidae,Pohnpei white-eye scientific name Zosterops ponapensis
The grey-capped cicadabird or Melanesian cicadabird (Edolisoma remotum) is a species of bird in the family Campephagidae,Grey-capped cicadabird scientific name Edolisoma remotum
"The grey-capped cuckoo (Coccyzus lansbergi) is a species of bird in the tribe Phaenicophaeini, subfamily Cuculinae of the cuckoo family Cuculidae",Grey-capped cuckoo scientific name Coccyzus lansbergi
"The  grey-capped flycatcher (Myiozetetes granadensis) is a passerine bird, a member of the large tyrant flycatcher family",grey-capped flycatcher scientific name Myiozetetes granadensis
The grey-capped greenfinch or Oriental greenfinch (Chloris sinica) is a small passerine bird in the finch family Fringillidae that breeds in broadleaf and conifer woodlands of the East Palearctic,Oriental greenfinch scientific name Chloris sinica
The grey-capped hemispingus (Kleinothraupis reyi) is a species of bird in the family Thraupidae that is endemic to Venezuela,grey-capped hemispingus scientific name Kleinothraupis reyi
Picoides canicapillusDryobates semicoronatusDendrocopus canicapillus[1],Picoides canicapillus scientific name Picoides canicapillus
"The grey-capped social weaver (Pseudonigrita arnaudi) is a sparrow-like liver-colored bird, with a pale grey crown, a dark grey bill, a whitish eye-ring, horn-colored legs, with some black in the wing and a light terminal band in the tail, that builds roofed nests made of straws, breeds in colonies in thorny Acacia trees, and feeds in groups gathering grass seeds and insects",Grey-capped social weaver scientific name Pseudonigrita arnaudi
The grey-capped tyrannulet (Phyllomyias griseocapilla) is a species of bird in the family Tyrannidae,grey-capped tyrannulet scientific name Phyllomyias griseocapilla
The grey-capped warbler (Eminia lepida) is a species of bird in the family Cisticolidae,grey-capped warbler scientific name Eminia lepida
"The grey-cheeked bulbul (Alophoixus tephrogenys) is a species of songbird in the bulbul family, Pycnonotidae",grey-cheeked bulbul scientific name Alophoixus tephrogenys
The grey-cheeked fulvetta or Morrison's fulvetta (Alcippe morrisonia) is a bird in the family Alcippeidae,grey-cheeked fulvetta scientific name Alcippe morrisonia
The grey-cheeked green pigeon (Treron griseicauda) is a species of bird in the family Columbidae,Treron griseicauda scientific name Treron griseicauda
"The grey-cheeked nunlet (Nonnula frontalis) is a species of near-passerine bird in the family Bucconidae, the puffbirds, nunlets, and nunbirds",Grey-cheeked Nunlet scientific name Nonnula frontalis
"The grey-cheeked parakeet (Brotogeris pyrrhoptera), less commonly known as fire-winged parakeet, is a Vulnerable species of bird in subfamily Arinae of the family Psittacidae, the African and New World parrots",Grey-cheeked Parakeet scientific name Brotogeris pyrrhoptera
"The Iago sparrow (Passer iagoensis), also known as the Cape Verde or rufous-backed sparrow, is a passerine bird of the sparrow family Passeridae",Iago sparrow alternate name Cape Verde sparrow
"The Iago sparrow (Passer iagoensis), also known as the Cape Verde or rufous-backed sparrow, is a passerine bird of the sparrow family Passeridae",Iago sparrow alternate name  rufous-backed sparrow
The imitator goshawk or imitator sparrowhawk (Accipiter imitator) is a species of bird of prey in the family Accipitridae,imitator goshawk alternate name imitator sparrowhawk
"The imperial amazon (Amazona imperialis) or Dominican amazon, also known as the sisserou or sisserou parrot, is a parrot found only on the Caribbean island of Dominica",Imperial Amazon alternate name Dominican amazon
"The imperial amazon (Amazona imperialis) or Dominican amazon, also known as the sisserou or sisserou parrot, is a parrot found only on the Caribbean island of Dominica",Imperial Amazon alternate name  Sisserou
"The imperial amazon (Amazona imperialis) or Dominican amazon, also known as the sisserou or sisserou parrot, is a parrot found only on the Caribbean island of Dominica",Imperial Amazon alternate name  Sisserou Parrot
"The imperial shag or imperial cormorant (Leucocarbo atriceps) is a black and white cormorant native to southern South America, primarily in rocky coastal regions, but locally also at large inland lakes",Imperial Shag alternate name Imperial Cormorant
"The Inaccessible Island finch (Nesospiza acunhae), also known as the Inaccessible bunting, is a species of bird in the family Thraupidae (formerly in Emberizidae)",Inaccessible Island finch alternate name Inaccessible bunting
"The Inca jay or querrequerre (Cyanocorax yncas) is a bird species of the New World jays, which is native to the Andes of South America",Inca jay alternate name querrequerre
The Indian cormorant or Indian shag (Phalacrocorax fuscicollis) is a member of the cormorant family,Indian cormorant alternate name Indian shag
"The Indian peafowl (Pavo cristatus), also known as the common peafowl, and blue peafowl, is a peafowl species native to the Indian subcontinent",Indian peafowl alternate name common peafowl
"The Indian peafowl (Pavo cristatus), also known as the common peafowl, and blue peafowl, is a peafowl species native to the Indian subcontinent",Indian peafowl alternate name  blue peafowl
The Indian silverbill or white-throated munia (Euodice malabarica) is a small passerine bird found in the Indian Subcontinent and adjoining regions that was formerly considered to include the closely related African silverbill (Euodice cantans),Indian silverbill alternate name white-throated munia
The Indian stone-curlew or Indian thick-knee (Burhinus indicus) is a species of bird in the family Burhinidae,Indian stone-curlew alternate name Indian thick-knee
The Indian swiftlet or Indian edible-nest swiftlet  (Aerodramus unicolor) is a small swift,Indian swiftlet alternate name Indian edible-nest swiftlet
"The Indochinese barbet (Psilopogon annamensis), also called Annam barbet, is a bird belonging to the family Megalaimidae",Indochinese barbet alternate name Annam barbet
The Indochinese bush lark (Mirafra erythrocephala) or Indochinese lark is a species of lark in the family Alaudidae found in southeast Asia,Indochinese bush lark alternate name Indochinese lark
"The Indochinese green magpie (Cissa hypoleuca) or yellow-breasted magpie, is a passerine bird of the crow family, Corvidae",Indochinese green magpie alternate name yellow-breasted magpie
"The Indochinese roller (Coracias affinis) or Burmese roller, is a member of the roller bird family",Indochinese roller alternate name Burmese roller
The Indochinese yuhina or chestnut-collared yuhina (Staphida torqueola) is a bird in the family Zosteropidae,Indochinese yuhina alternate name Chestnut-collared yuhina
"The intermediate egret, median egret, smaller egret, or yellow-billed egret (Ardea intermedia) is a medium-sized heron",intermediate egret alternate name median egret
"The intermediate egret, median egret, smaller egret, or yellow-billed egret (Ardea intermedia) is a medium-sized heron",intermediate egret alternate name  smaller egret
"The intermediate egret, median egret, smaller egret, or yellow-billed egret (Ardea intermedia) is a medium-sized heron",intermediate egret alternate name  yellow-billed egret
"The Iphis monarch (Pomarea iphis), or Ua Huka flycatcher, is a species of bird in the family Monarchidae",Iphis monarch alternate name Ua Huka flycatcher
"The iris lorikeet (Saudareos iris) is a small, up to 20 cm long, green lorikeet bird",lorikeet alternate name Saudareos iris
The isabelline shrike or Daurian shrike (Lanius isabellinus) is a member of the shrike family (Laniidae),Isabelline Shrike alternate name Daurian Shrike
"The island bronze-naped pigeon (Columba malherbii), also known as the São Tomé bronze-naped pigeon, is a species of bird in the family Columbidae",island bronze-naped pigeon alternate name São Tomé bronze-naped pigeon
"The island scrub jay (Aphelocoma insularis), also known as the island jay or Santa Cruz jay, is a bird in the genus, Aphelocoma, which is endemic to Santa Cruz Island off the coast of Southern California",island scrub jay alternate name island jay
"The island scrub jay (Aphelocoma insularis), also known as the island jay or Santa Cruz jay, is a bird in the genus, Aphelocoma, which is endemic to Santa Cruz Island off the coast of Southern California",island scrub jay alternate name  Santa Cruz jay
"The Italian sparrow (Passer italiae), also known as the cisalpine sparrow, is a passerine bird of the sparrow family Passeridae, found in Italy and other parts of the Mediterranean region",Italian sparrow alternate name Cisalpine sparrow
"The Itatiaia spinetail (Asthenes moreirae), also known as the Itatiaia thistletail, is a species of bird in the family Furnariidae",Itatiaia spinetail alternate name Itatiaia thistletail
"The Ituri batis or Chapin's batis (Batis ituriensis) is a species of bird in the wattle-eye family, Platysteiridae which is found in the humid forests of eastern central Africa",Ituri batis alternate name Chapins batis
The ivory-billed coucal or greater black coucal (Centropus menbeki) is a species of cuckoo in the family Cuculidae,ivory-billed coucal alternate name greater black coucal
The ivory-breasted pitta (Pitta maxima) is a species of bird in the family Pittidae,Pitta maxima alternate name ivory-breasted pitta
The Izu thrush or Izu Islands thrush (Turdus celaenops) is a bird of the thrush family native to Japan,Izu thrush alternate name Izu Islands thrush
"The galah (/ɡəˈlɑː/; Eolophus roseicapilla), also known as the pink and grey cockatoo or rose-breasted cockatoo,[2] is the only species within genus Eolophus of the cockatoo family",galah alternate name pink and grey cockatoo
"The galah (/ɡəˈlɑː/; Eolophus roseicapilla), also known as the pink and grey cockatoo or rose-breasted cockatoo,[2] is the only species within genus Eolophus of the cockatoo family",galah alternate name  rose-breasted cockatoo
"The Galapagos crake (Laterallus spilonota), also called the Galapagos rail and Darwin's rail, is a Vulnerable species of rail in subfamily Rallinae of family Rallidae, the rails, gallinules, and coots",Galapagos crake alternate name Galapagos rail
"The Galapagos crake (Laterallus spilonota), also called the Galapagos rail and Darwin's rail, is a Vulnerable species of rail in subfamily Rallinae of family Rallidae, the rails, gallinules, and coots",Galapagos crake alternate name  Darwins rail
The Galápagos flycatcher (Myiarchus magnirostris) also known as the large-billed flycatcher is a species of bird in the family Tyrannidae,Galápagos flycatcher alternate name large-billed flycatcher
"Garrett's reed warbler (Acrocephalus musae), sometimes called Society Islands reed warbler or Forster's reed-warbler was a songbird in the genus Acrocephalus",Garrett's reed warbler alternate name Society Islands reed warbler
"Garrett's reed warbler (Acrocephalus musae), sometimes called Society Islands reed warbler or Forster's reed-warbler was a songbird in the genus Acrocephalus",Garrett's reed warbler alternate name  Forsters reed-warbler
The giant honeyeater or duetting giant honeyeater (Gymnomyza brunneirostris) is a species of bird in the family Meliphagidae,Giant Honeyeater alternate name Duetting Giant Honeyeater
"The giant scops owl (Otus gurneyi), lesser eagle-owl or the Mindanao eagle-owl, is a species of owl in the family Strigidae",Giant Scops Owl alternate name Lesser Eagle-Owl
"The giant scops owl (Otus gurneyi), lesser eagle-owl or the Mindanao eagle-owl, is a species of owl in the family Strigidae",Giant Scops Owl alternate name  Mindanao Eagle-Owl
"The giant white-eye, or Palau greater white-eye (Megazosterops palauensis) is a species of bird in the family Zosteropidae",giant white-eye alternate name Palau greater white-eye
"Gilbert's honeyeater (Melithreptus chloropsis), also known as the Swan River honeyeater or western white-naped honeyeater, is a passerine bird of the honeyeater family Meliphagidae native to southwestern Australia",Gilbert's honeyeater alternate name Swan River honeyeater
"Gilbert's honeyeater (Melithreptus chloropsis), also known as the Swan River honeyeater or western white-naped honeyeater, is a passerine bird of the honeyeater family Meliphagidae native to southwestern Australia",Gilbert's honeyeater alternate name  western white-naped honeyeater
"The gilded sapphire (Hylocharis chrysura), also known as the gilded hummingbird, is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae",Gilded sapphire alternate name Gilded hummingbird
The Gizo white-eye or yellow-billed white-eye (Zosterops luteirostris) is a species of bird in the family Zosteropidae,Gizo white-eye alternate name yellow-billed white-eye
The Gola malimbe or Ballman's malimbe (Malimbus ballmanni) is a species of bird in the family Ploceidae,Gola malimbe alternate name Ballmans malimbe
"The golden bush robin (Tarsiger chrysaeus) or golden bush-robin was first discovered in 1845 by Brian Houghton Hodgson, a British naturalist",Golden Bush Robin alternate name Golden Bush-Robin
"The golden fruit dove (Ptilinopus luteovirens), also known as the lemon dove or yellow dove, is a small, approximately 20 cm (8 in) long, short-tailed fruit-dove in the family Columbidae",golden fruit dove alternate name lemon dove
"The golden fruit dove (Ptilinopus luteovirens), also known as the lemon dove or yellow dove, is a small, approximately 20 cm (8 in) long, short-tailed fruit-dove in the family Columbidae",golden fruit dove alternate name  yellow dove
"The golden grosbeak (Pheucticus chrysogaster), also known as golden-bellied grosbeak or southern yellow grosbeak, is a species of grosbeak in the family Cardinalidae",Golden Grosbeak alternate name Golden-bellied Grosbeak
"The golden grosbeak (Pheucticus chrysogaster), also known as golden-bellied grosbeak or southern yellow grosbeak, is a species of grosbeak in the family Cardinalidae",Golden Grosbeak alternate name  Southern Yellow Grosbeak
"The golden-backed weaver (Ploceus jacksoni), also known as Jackson's weaver, is a species of bird in the family Ploceidae",golden-backed weaver alternate name Jacksons weaver
"The golden-backed whistler (Pachycephala aurea) or yellow-backed whistler, is a species of bird in the family Pachycephalidae",golden-backed whistler alternate name yellow-backed whistler
The golden-bellied gerygone (Gerygone sulphurea) is a species of bird in the family Acanthizidae,Gerygone sulphurea alternate name Golden-bellied Gerygone
"The golden-breasted starling (Lamprotornis regius), also known as royal starling, is a medium-sized passerine in the starling family",golden-breasted starling alternate name royal starling
"The golden-collared macaw or yellow-collared macaw (Primolius auricollis) is a small mostly green Central South American parrot, a member of a large group of Neotropical parrots known as macaws",macaw alternate name golden-collared macaw
"The golden-collared macaw or yellow-collared macaw (Primolius auricollis) is a small mostly green Central South American parrot, a member of a large group of Neotropical parrots known as macaws",macaw alternate name  yellow-collared macaw
"The golden-fronted fulvetta (Schoeniparus variegaticeps), also known as the gold-fronted fulvetta, is a species of bird in the family Pellorneidae",golden-fronted fulvetta alternate name gold-fronted fulvetta
"The golden-fronted whitestart (Myioborus ornatus) or the golden-fronted redstart, is a species of bird in the family Parulidae",golden-fronted whitestart alternate name golden-fronted redstart
"The golden-headed cisticola (Cisticola exilis), also known as the bright-capped cisticola, is a species of warbler in the family Cisticolidae, found in Australia and thirteen Asian countries",golden-headed cisticola alternate name bright-capped cisticola
The golden-headed quetzal or corequenque (Pharomachrus auriceps) is a strikingly coloured bird in the genus Pharomachrus; it is also referred to as Trogon auriceps,golden-headed quetzal alternate name corequenque
The golden-headed quetzal or corequenque (Pharomachrus auriceps) is a strikingly coloured bird in the genus Pharomachrus; it is also referred to as Trogon auriceps,golden-headed quetzal alternate name  Trogon auriceps
"The golden-plumed parakeet (Leptosittaca branickii) is a Neotropical parrot species within the family Psittacidae, belonging to the monotypic genus Leptosittaca",golden-plumed parakeet alternate name Leptosittaca branickii
"The golden-tufted mountain grackle (Macroagelaius imthurni), also known as the golden-tufted grackle, is a species of bird in the family Icteridae",golden-tufted mountain grackle alternate name golden-tufted grackle
The golden-winged warbler (Vermivora chrysoptera) is a New World warbler,golden-winged warbler alternate name Vermivora chrysoptera
